兵	〔撇ᵁ八¦uf〕
昺	〔日人¦ve〕
苪	〔艹人¦ze〕
辩	〔立讠¦bc〕
辨	〔立撇ᵁ¦bu〕
匾	〔横ᴰ折ᴿ¦dr〕
蝙	〔虫心¦fj〕
褊	〔衤心¦hj〕
卞	〔亠捺ᴴ¦ih〕
变	〔亠又¦il〕
贬	〔贝捺ᴴ¦mh〕
笾	〔竹辶¦nq〕
籓	〔竹田¦nw〕
遍	〔户辶¦qq〕
煸	〔火心¦tj〕
碥	〔石心¦tj〕
砭	〔石捺ᴴ¦th〕
鞭	〔廿乂¦vy〕
便	〔亻乂¦xy〕
苄	〔艹捺ᴴ¦zh〕
萹	〔艹心¦zj〕
飙	〔犬乂¦by〕
镖	〔钅八¦df〕
裱	〔衤捺ᴴ¦hh〕
摽	〔扌八¦jf〕
脿	〔月捺ᴴ¦lh〕
膘	〔月八¦lf〕
瘭	〔疒八¦mf〕
彪	〔竖ᵖ撇ᵁ¦pu〕
鳔	〔鱼八¦qf〕
熛	〔火八¦tf〕
标	〔木八¦wf〕
杓	〔木捺ᴴ¦wh〕
婊	〔女捺ᴴ¦yh〕
幖	〔巾八¦yf〕
骠	〔马八¦zf〕
骉	〔马马¦zz〕
僰	〔横ᴰ人¦de〕
钹	〔钅捺ᴴ¦dh〕
铂	〔钅白¦ds〕
跛	〔足又¦gl〕
踣	〔足口¦go〕
搏	〔扌寸¦jk〕
浡	〔氵子¦ka〕
泊	〔氵白¦ks〕
渤	〔氵力¦ku〕
脖	〔月子¦la〕
膊	〔月寸¦lk〕
箔	〔竹白¦ns〕
孛	〔十子¦sa〕
舶	〔舟白¦ts〕
馞	〔撇ᵁ子¦ua〕
蹩	〔丷足¦fg〕
瘪	〔疒匕¦ma〕
癿	〔白折ᴿ¦sr〕
部	〔立阝¦bb〕
瓿	〔立捺ᴴ¦bh〕
钚	〔钅捺ᴴ¦dh〕
不	〔横ᴰ捺ᴴ¦dh〕
逋	〔横ᴰ辶¦dq〕
埔	〔土捺ᴴ¦gh〕
埠	〔土十¦gs〕
埗	〔土撇ᵁ¦gu〕
补	〔衤捺ᴴ¦hh〕
捕	〔扌捺ᴴ¦jh〕
怖	〔忄巾¦ny〕
卜	〔竖ᵖ捺ᴴ¦ph〕
步	〔止撇ᵁ¦ru〕
晡	〔日捺ᴴ¦vh〕
