# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	7312
#@/user_id	tsbu-jdh
a;bj;ek;tz;ek; 	阿	c=2 d=2.40745e-06 t=7312
bao;xw;rd;je;rm; chi;jk;fs;uk;fc; 	保持	c=2 d=3.33846e-06 t=7312
bao;xw;rd;je;rm; cun;sa;uz,za;nh;uz; 	保存	c=2 d=6.69469e-06 t=7312
bao;xw;rd;je;rm; hu;jq;fh;um;fh; 	保护	c=1 d=1.58488e-06 t=7312
bao;xw;rd;je;rm; xian;bd;ea,eq;tf;ea; 	保险	c=3 d=5.71264e-07 t=7312
bao;xw;rd;je;rm; zheng;cr;yv;ss;yv; 	保证	c=1 d=1.59695e-07 t=7312
bao;xw;rd;je;rm; zhong;sg;pa,ql;ld;pa; 	保重	c=1 d=1.20383e-06 t=7312
bei;dm;jb;zo;jr; 	钡	c=0 d=3.0057e-07 t=7312
bei;hl;yp;tr;py; 	被	c=17 d=0.0692913 t=7312
bei;hl;yp;tr;py; dan;fs;ba,bd;hn;bl; 	被单	c=1 d=1.04134e-06 t=7312
bei;hl;yp;tr;py; yi;dd;aa;fi;aa; qun;rp;yj;bg;yy; 	被一群	c=1 d=1.79591e-06 t=7312
bei;jw;wt;hq;wt; 	备	c=1 d=0.00358858 t=7312
bei;ll;ob;av;lo; fu;gm;db;xo;dr; 	背负	c=1 d=0.082085 t=7312
bei;ll;ob;av;lo; hou;uo;pk;xd;pk; 	背后	c=3 d=3.40773e-06 t=7312
bei;ll;ob;av;lo; jing;vf;oj;oy;ox; 	背景	c=1 d=4.14995e-07 t=7312
bei;wh;mb;ec;mb; 	杯	c=1 d=5.14966e-07 t=7312
ben;wd;aa,ma;ef;aa; 	本	c=2 d=0.001573 t=7312
ben;wd;aa,ma;ef;aa; di;gr,ga;ty;ge;ty; 	本地	c=5 d=1.80611 t=7312
ben;wd;aa,ma;ef;aa; neng;pa;sb;kv;sb; 	本能	c=1 d=3.10526e-07 t=7312
ben;wd;aa,ma;ef;aa; shen;uu;pp;zs;pp; 	本身	c=1 d=0.000169103 t=7312
ben;xp,xz;dc,dh;ml;dc; pao;gt;zb;pv;zs; 	奔跑	c=1 d=3.04325e-05 t=7312
beng;pl;up;vv;eo; 	崩	c=1 d=0.00571306 t=7312
bi;aa;bb;vv;bb; 	比	c=3 d=5.51017e-06 t=7312
bi;aa;bb;vv;bb; jiao;ty;ij;yb;ix; 	比较	c=1 d=2.49805e-06 t=7312
bi;aa;bb;vv;bb; ru;yo;nk;bd;nk; 	比如	c=3 d=9.78715e-06 t=7312
bi;aa;bb;vv;bb; yu;oi;ky;dp;kd; 	比喻	c=1 d=2.18259e-06 t=7312
bi;as;bu,ub;vn;bu; 	毕	c=1 d=0.0147723 t=7312
bi;as;bu,ub;vn;bu; ye;pd;aa;cy;la; 	毕业	c=3 d=4.017e-06 t=7312
bi;dq;zf,zt;fu;zt; po;sq;zb;uu;zb; 	逼迫	c=1 d=4.40657e-07 t=7312
bi;dq;zf,zt;fu;zt; zhen;sf;uj;nh;ub; 	逼真	c=2 d=1.47036e-06 t=7312
bi;fp,fz;cb,cw;fl;dc; duan;;le;il;le; 	弊端	c=1 d=2.43637e-06 t=7312
bi;hl;xp;wr;iy; 	彼	c=1 d=1.13941e-06 t=7312
bi;hl;xp;wr;iy; ci;ra;vb;sv;vb; 	彼此	c=1 d=1.75157e-06 t=7312
bi;nr,na;vm;rv;vm; 	笔	c=1 d=2.26033e-06 t=7312
bi;nr,na;vm;rv;vm; mo;ng;th,ht;pg;ht; 	笔墨	c=1 d=0.000227127 t=7312
bi;nu;dd,xp;ht;dd; 	必	c=2 d=4.93419e-06 t=7312
bi;nu;dd,xp;ht;dd; dai;zy;jb;lr;fj; 	必带	c=1 d=1.46303e-06 t=7312
bi;nu;dd,xp;ht;dd; jing;ep;sg;iu;sg; 	必经	c=1 d=3.3138e-07 t=7312
bi;nu;dd,xp;ht;dd; ran;fn;hq;vc;ph; 	必然	c=1 d=0.000121572 t=7312
bi;nu;dd,xp;ht;dd; you;sl;ou,uo;nv;uo; 	必有	c=1 d=0.0153752 t=7312
bi;qg;tb,tx;cg;ut; guan;lk;jy,yj;re;ye; 	壁观	c=1 d=3.58053e-06 t=7312
bi;qq;zb,zx;cu;zu; 	避	c=2 d=0.00050043 t=7312
bi;qq;zb,zx;cu;zu; mian;gk;de,dm;wp;dv; 	避免	c=1 d=0.0248475 t=7312
bian;bu,bs;dx,xx;nn;lu; 	辨	c=1 d=0.00117088 t=7312
bian;ej,ed;sb;ii;sc; hao;or;kk;da;kv; 	编号	c=1 d=3.23198e-07 t=7312
bian;ej,ed;sb;ii;sc; ji;tu;ie,iq;yq;ie; qi;oo;kk,qk;dd;kk; 	编辑器	c=1 d=2.03995e-05 t=7312
bian;ej,ed;sb;ii;sc; ma;tz;um;mn;um; 	编码	c=1 d=2.62613e-06 t=7312
bian;ej,ed;sb;ii;sc; zhi;ef;sv;ih;sb; 	编织	c=1 d=1.77804e-06 t=7312
bian;il;wy,yy;zr;wy; 	变	c=3 d=0.433879 t=7312
bian;il;wy,yy;zr;wy; de;hk;xc;wk;ic; 	变得	c=2 d=1.49259e-06 t=7312
bian;il;wy,yy;zr;wy; qian;sq;zq;lu;zq; 	变迁	c=2 d=0.516542 t=7312
bian;il;wy,yy;zr;wy; zhi;um;bu,pb;xo;pr; 	变质	c=1 d=4.40657e-07 t=7312
bian;mh;bf;or;kf; 	贬	c=1 d=0.000219315 t=7312
bian;qq;zb;mu;zc; 	遍	c=1 d=0.000578542 t=7312
bian;uq;zl;su;zl; 	边	c=2 d=0.00748556 t=7312
bian;xy;rg;jb;rg; 	便	c=17 d=0.0509208 t=7312
bian;xy;rg;jb;rg; hui;ep;ry;jb;rs; 	便会	c=1 d=6.12939e-07 t=7312
bian;xy;rg;jb;rg; jie;je;fj;us;fr; 	便捷	c=0 d=1.49259e-07 t=7312
bian;xy;rg;jb;rg; yu;ss;aa;fn;al; 	便于	c=1 d=1.47036e-06 t=7312
biao;ah;fy;at;fy; 	表	c=1 d=2.36437e-06 t=7312
biao;ah;fy;at;fy; da;xq;zd;mu;zd; 	表达	c=9 d=0.00137631 t=7312
biao;ah;fy;at;fy; lu;yr,yo;yl;ts;yk; 	表露	c=1 d=1.79591e-06 t=7312
biao;ah;fy;at;fy; mian;dd,du;aa;bm;aa; 	表面	c=2 d=0.0706526 t=7312
biao;ah;fy;at;fy; shi;uf;ex,ad;fs;ex; 	表示	c=2 d=2.57241e-05 t=7312
biao;ah;fy;at;fy; xian;ak;wj;ne;we; 	表现	c=4 d=0.110805 t=7312
biao;ah;fy;at;fy; yan;kf;dy;kh;db; 	表演	c=2 d=2.77461e-06 t=7312
biao;df;jp;zf;jx; 	镖	c=1 d=0.000350903 t=7312
biao;wf;mu;ef;mx; qian;nd;va,vq;rf;va; 	标签	c=2 d=1.73963e-06 t=7312
bie;oi;dl;dp;kd; 	别	c=8 d=4.63529e-06 t=7312
bie;oi;dl;dp;kd; de;sh;bu;ui;bu; 	别的	c=1 d=2.45492e-07 t=7312
bie;oi;dl;dp;kd; ren;ee;pd;jr;pn; 	别人	c=4 d=5.95365e-06 t=7312
bie;oi;dl;dp;kd; yang;wp;my;eg;my; 	别样	c=2 d=1.6998e-06 t=7312
bie;oi;dl;dp;kd; zhi;dj;wv;yh;aw; 	别致	c=1 d=0.000208619 t=7312
bing;fo;du;wk;du; 	冰	c=1 d=1.24671e-06 t=7312
bing;fo;du;wk;du; liang;ff;dj;wy;dx; 	冰凉	c=0 d=1.40567e-07 t=7312
bing;fo;du;wk;du; liang;ff;dj;wy;dx; de;sh;bu;ui;bu; 	冰凉的	c=1 d=1.41271e-06 t=7312
bing;fp,fz;bk,qc;hl;bk; 	并	c=10 d=0.00223989 t=7312
bing;fp,fz;bk,qc;hl;bk; bu;dh;ad,ax;cb;ad; 	并不	c=1 d=2.35257e-06 t=7312
bing;if;du,uh,wu;zf;wx; 	禀	c=1 d=0.000884932 t=7312
bing;me;bb;aj;bb; 	病	c=1 d=0.000611253 t=7312
bing;me;bb;aj;bb; bian;il;wy,yy;zr;wy; 	病变	c=1 d=5.00537e-06 t=7312
bing;me;bb;aj;bb; li;xi;rl;jp;rd; 	病例	c=1 d=4.7375e-06 t=7312
bing;me;bb;aj;bb; tai;xn;xt;mh;tx; 	病态	c=1 d=8.35696e-07 t=7312
bing;uf;qb;th;qb; li;uu;gp;sl;vp; 	兵力	c=1 d=1.34381e-06 t=7312
bo;gl;zp;pr;zy; 	跛	c=1 d=0.00771183 t=7312
bo;jh;ff;ui;fd; luan;sr;ug;aa;qv; 	拨乱	c=1 d=0.000283018 t=7312
bo;kl;dp;kr;dy; 	波	c=1 d=1.25924e-06 t=7312
bo;kl;dp;kr;dy; bo;kl;dp;kr;dy; 	波波	c=1 d=0.000184106 t=7312
bo;kl;dp;kr;dy; lan;kf;dl;kh;dj; 	波澜	c=1 d=1.33044e-06 t=7312
bo;ks;db;ku;db; 	泊	c=1 d=0.474734 t=7312
bo;tl;vu;ir;vy; re;zo;cy;ld;ck; bo;kl;dp;kr;dy; luo;af;sx;yl;sx; mi;if;ib,bi;wc;bi; duo;ff;xx;ll;xx; xin;nn;dd;hx;dd; jing;ep;sg;iu;sg; 	般若波罗蜜多心经	c=1 d=0.123687 t=7312
bo;zl;cb;lr;cy; luo;zf;cl;ll;cx; 	菠萝	c=0 d=0.0122456 t=7312
bo;zl;cb;lr;cy; luo;zf;cl;ll;cx; bo;zl;cb;lr;cy; luo;zf;cl;ll;cx; mi;if;ib,bi;wc;bi; duo;ff;xx;ll;xx; 	菠萝菠萝蜜多	c=1 d=0.12307 t=7312
bu;bb;ek,ep;it;le; 	部	c=4 d=0.000301091 t=7312
bu;dh;ad,ax;cb;ad; 	不	c=26 d=1.94858e-05 t=7312
bu;dh;ad,ax;cb;ad; an;iy;bn;wb;bn; 	不安	c=0 d=1.53804e-07 t=7312
bu;dh;ad,ax;cb;ad; bian;xy;rg;jb;rg; 	不便	c=1 d=1.99473e-06 t=7312
bu;dh;ad,ax;cb;ad; duan;lp;ja,jm,jv;pt;mj; 	不断	c=1 d=5.30205e-07 t=7312
bu;dh;ad,ax;cb;ad; gan;rj;we,aw,vw;ah;vw; 	不敢	c=1 d=5.62991e-07 t=7312
bu;dh;ad,ax;cb;ad; gou;if;jd,xj;gl;bx; 	不够	c=1 d=6.57383e-07 t=7312
bu;dh;ad,ax;cb;ad; gu;rm;ye;xw;ir; 	不顾	c=1 d=4.72607e-07 t=7312
bu;dh;ad,ax;cb;ad; hui;ep;ry;jb;rs; 	不会	c=2 d=6.4723e-06 t=7312
bu;dh;ad,ax;cb;ad; jin;xl;ry;jr;ry; 	不仅	c=10 d=0.778399 t=7312
bu;dh;ad,ax;cb;ad; jing;ep;sg;iu;sg; yi;bn,cn;xy,lx;xh;lx; 	不经意	c=1 d=2.04523e-06 t=7312
bu;dh;ad,ax;cb;ad; jiu;uh;pd,dd;xi;pn; 	不久	c=1 d=1.3041e-06 t=7312
bu;dh;ad,ax;cb;ad; le;rp;aa,vu;rl;vl; 	不了	c=0 d=2.69261e-07 t=7312
bu;dh;ad,ax;cb;ad; ru;yo;nk;bd;nk; shuo;ck;yd;sp;ye; 	不如说	c=1 d=2.1287e-06 t=7312
bu;dh;ad,ax;cb;ad; tong;oo;kk;md;kk; yu;ss;aa;fn;al; 	不同于	c=1 d=2.94618e-06 t=7312
bu;dh;ad,ax;cb;ad; xiang;wn;xx;eh;mx; 	不想	c=1 d=7.37501e-07 t=7312
bu;dh;ad,ax;cb;ad; yuan;rn;xy;xh;ix; 	不愿	c=1 d=0.0893673 t=7312
bu;dh;ad,ax;cb;ad; zhi;eo;uk,ku;od;uk; 	不知	c=2 d=2.38974e-06 t=7312
bu;dh;ad,ax;cb;ad; zhu;kg,ka;dv;kn;dv; yi;bn,cn;xy,lx;xh;lx; 	不注意	c=1 d=5.94824e-07 t=7312
bu;dh;ad,ax;cb;ad; zu;gg;kv;pu;kr; 	不足	c=1 d=0.00101284 t=7312
bu;hh;yb;ty;pb; 	补	c=1 d=5.65718e-05 t=7312
bu;hh;yb;ty;pb; chong;ik;dy,es,wy;bp;we; 	补充	c=1 d=0.0235177 t=7312
bu;hh;yb;ty;pb; ke;cw;yg;se;yg; 	补课	c=1 d=1.64956e-06 t=7312
bu;ru;vx;ss;vp; 	步	c=1 d=0.00551656 t=7312
bu;sy;ju,uj;nr;uj; 	布	c=1 d=0.410656 t=7312
ca;jf;fi;uf;fx; 	擦	c=3 d=5.31106e-06 t=7312
cai;bl;qq;mv;qo; ce;ki;dz;kp;dd; 	猜测	c=1 d=1.32381e-06 t=7312
cai;hw;mv,vm;ye;pm; fang;cf;yf;sl;yf; 	采访	c=2 d=2.17857e-06 t=7312
cai;hw;mv,vm;ye;pm; gou;mp;bg;ok;ks; 	采购	c=3 d=2.11564e-06 t=7312
cai;hw;mv,vm;ye;pm; yong;lp;kf;ty;kl; 	采用	c=1 d=2.83799e-07 t=7312
cai;mu;bc;ot;kc; wu;ju;wl;hs;wl; 	财务	c=1 d=2.08152e-07 t=7312
cai;su,du;ap;nt;ap; 	才	c=1 d=2.63929e-06 t=7312
cai;zw;cc;le;cm; 	菜	c=1 d=8.91822e-07 t=7312
can;fa;dj;gp;dj; 	残	c=1 d=1.18591e-06 t=7312
can;nu;xc;he;xp; lie;fn;hl;gc;dh; 	惨烈	c=1 d=1.73414e-06 t=7312
can;pu;sp;ke;sp; yu;dd;aa;ff;aa; 	参与	c=2 d=2.54846e-06 t=7312
